mode,date,issue,parameter,ratio,parameter_value,base_objective,objective,objective_change_pct,grid_l1_kwh,soc_max_change_kwh,balance_residual,soc_residual
q3,2025-09-23,0,terminal_multiplier,0.8,0.8,46397.193966186154,46397.193966186154,0.0,0.0,0.0,7.958078640513122e-13,8.846257060213247e-13
q3,2025-09-23,0,terminal_multiplier,0.9,0.9,46397.193966186154,46397.193966186154,0.0,0.0,0.0,7.958078640513122e-13,8.846257060213247e-13
q3,2025-09-23,0,terminal_multiplier,1.0,1.0,46397.193966186154,46397.193966186154,0.0,0.0,0.0,7.958078640513122e-13,8.846257060213247e-13
q3,2025-09-23,0,terminal_multiplier,1.1,1.1,46397.193966186154,46397.193966186154,0.0,0.0,0.0,7.958078640513122e-13,8.846257060213247e-13
q3,2025-09-23,0,terminal_multiplier,1.2,1.2,46397.193966186154,46397.193966186154,0.0,0.0,0.0,7.958078640513122e-13,8.846257060213247e-13
q3,2025-09-23,0,power_kw,0.8,4000.0,46397.193966186154,53462.053367417844,15.226910934270059,0.0,1478.2954650462943,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-09-23,0,power_kw,0.9,4500.0,46397.193966186154,47918.80349516329,3.279529210508002,0.0,515.59738939815,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-09-23,0,power_kw,1.0,5000.0,46397.193966186154,46397.193966186154,0.0,0.0,0.0,7.958078640513122e-13,8.846257060213247e-13
q3,2025-09-23,0,power_kw,1.1,5500.0,46397.193966186154,46394.83380321784,-0.005086865748887368,0.0,49.88905125000019,7.958078640513122e-13,8.846257060213247e-13
q3,2025-09-23,0,power_kw,1.2,6000.0,46397.193966186154,46394.83380321784,-0.005086865748887368,0.0,49.88905125000019,7.958078640513122e-13,8.846257060213247e-13
q3,2025-09-23,6,terminal_multiplier,0.8,0.8,42740.119505387585,42740.119505387585,0.0,0.0,0.0,7.958078640513122e-13,8.810729923425242e-13
q3,2025-09-23,6,terminal_multiplier,0.9,0.9,42740.119505387585,42740.119505387585,0.0,0.0,0.0,7.958078640513122e-13,8.810729923425242e-13
q3,2025-09-23,6,terminal_multiplier,1.0,1.0,42740.119505387585,42740.119505387585,0.0,0.0,0.0,7.958078640513122e-13,8.810729923425242e-13
q3,2025-09-23,6,terminal_multiplier,1.1,1.1,42740.119505387585,42740.119505387585,0.0,0.0,0.0,7.958078640513122e-13,8.810729923425242e-13
q3,2025-09-23,6,terminal_multiplier,1.2,1.2,42740.119505387585,42740.119505387585,0.0,0.0,0.0,7.958078640513122e-13,8.810729923425242e-13
q3,2025-09-23,6,power_kw,0.8,4000.0,42740.119505387585,44908.95858291873,5.074480611262108,8244.834692935528,1344.0322731481483,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-09-23,6,power_kw,0.9,4500.0,42740.119505387585,43306.1614317714,1.324380776035185,3504.7454213643664,477.7229701080214,2.2737367544323206e-13,8.810729923425242e-13
q3,2025-09-23,6,power_kw,1.0,5000.0,42740.119505387585,42740.119505387585,0.0,0.0,0.0,7.958078640513122e-13,8.810729923425242e-13
q3,2025-09-23,6,power_kw,1.1,5500.0,42740.119505387585,42725.83604950305,-0.03341931667442129,843.0611514574732,272.1774049999972,7.958078640513122e-13,8.810729923425242e-13
q3,2025-09-23,6,power_kw,1.2,6000.0,42740.119505387585,42721.402716169716,-0.04379208442668613,917.5377717592575,272.1774049999972,7.958078640513122e-13,8.810729923425242e-13
q3,2025-09-23,12,terminal_multiplier,0.8,0.8,46030.8381910709,46030.8381910709,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,12,terminal_multiplier,0.9,0.9,46030.8381910709,46030.8381910709,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,12,terminal_multiplier,1.0,1.0,46030.8381910709,46030.8381910709,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,12,terminal_multiplier,1.1,1.1,46030.8381910709,46030.8381910709,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,12,terminal_multiplier,1.2,1.2,46030.8381910709,46030.8381910709,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,12,power_kw,0.8,4000.0,46030.8381910709,48113.82453000554,4.5251974997463815,9059.895054801102,1650.0,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-09-23,12,power_kw,0.9,4500.0,46030.8381910709,46558.08547625044,1.1454218647745837,3972.630586025379,825.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-09-23,12,power_kw,1.0,5000.0,46030.8381910709,46030.8381910709,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-09-23,12,power_kw,1.1,5500.0,46030.8381910709,46007.93535931892,-0.04975540887809266,2249.976691203706,300.0,7.958078640513122e-13,9.094947017729282e-13
